Area Number,Area,Local File,Reference Purpose,Original Title,Creator / Agency,License,Source Page
01,Mat-Su Valley Wetlands,01_Mat-Su_Valley_Wetlands/01_palmer_hay_flats.jpg,"Broad wetland basin, pond edges, and mountain backdrop",Glenn Highway - Palmer Hay Flats - NARA - 7718617.jpg,U.S. Department of Transportation / NARA,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Glenn_Highway_-_Palmer_Hay_Flats_-_NARA_-_7718617.jpg
01,Mat-Su Valley Wetlands,01_Mat-Su_Valley_Wetlands/02_rabbit_slough_winter.jpg,"Frozen slough, low winter sun, and wetland access perspective","Biking and skating on Rabbit Slough. Palmer Hay Flats, Alaska (49343214928).jpg",Paxson Woelber,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Biking_and_skating_on_Rabbit_Slough._Palmer_Hay_Flats,_Alaska_(49343214928).jpg"
01,Mat-Su Valley Wetlands,01_Mat-Su_Valley_Wetlands/03_ghost_forest_wetland.jpg,Ground-level wetland vegetation and standing dead timber,Ghost forest from the 1964 Alaska quake (3767515757).jpg,Larry Ewing,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Ghost_forest_from_the_1964_Alaska_quake_(3767515757).jpg
02,Cook Inlet Coastal Marsh,02_Cook_Inlet_Coastal_Marsh/01_kachemak_bay_tidal_delta.jpg,"Aerial tidal delta, broad mudflats, and channel patterns",Line5066 - Flickr - NOAA Photo Library.jpg,NOAA / Alaska ShoreZone Program,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Line5066_-_Flickr_-_NOAA_Photo_Library.jpg
02,Cook Inlet Coastal Marsh,02_Cook_Inlet_Coastal_Marsh/02_turnagain_arm_panorama.jpg,Wide Cook Inlet tidal landscape and mountain enclosure,Panoramic of Turnagain Arm from Seward Highway - panoramio.jpg,Russell Lovrin,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Panoramic_of_Turnagain_Arm_from_Seward_Highway_-_panoramio.jpg
02,Cook Inlet Coastal Marsh,02_Cook_Inlet_Coastal_Marsh/03_ground_level_mudflat.jpg,Close ground-level mudflat texture and shoreline exposure,A shot of a mud flat in an unconsolidated shore in Alaska.jpg,U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:A_shot_of_a_mud_flat_in_an_unconsolidated_shore_in_Alaska.jpg
03,Copper River Delta,03_Copper_River_Delta/01_tidal_channels_mountains.jpg,Delta channels with coastal mountains and low vegetation,Copper River Delta - panoramio.jpg,Sam Beebe / Ecotrust,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Copper_River_Delta_-_panoramio.jpg
03,Copper River Delta,03_Copper_River_Delta/02_aerial_delta_channels.jpg,Aerial braided and tidal channel geometry,Alaska Air Copper river delta Cordova 2.jpg,Brian Varner (Fishinphoto),CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Alaska_Air_Copper_river_delta_Cordova_2.jpg
03,Copper River Delta,03_Copper_River_Delta/03_barrier_island_hunt_context.jpg,"Barrier-island shoreline, low brush, and field-use context",20230423-FS-ND-chugach-SubsistanceHunt-0002.jpg,"USDA Forest Service, Alaska Region",Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:20230423-FS-ND-chugach-SubsistanceHunt-0002.jpg
04,Yukon-Kuskokwim Delta,04_Yukon-Kuskokwim_Delta/01_aerial_tundra_delta.jpg,High aerial view of tundra ponds and delta wetlands,Yukon-Kuskokwim Delta (14188299215).jpg,Joseph / The Cabin On The Road,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Yukon-Kuskokwim_Delta_(14188299215).jpg
04,Yukon-Kuskokwim Delta,04_Yukon-Kuskokwim_Delta/02_braided_rivers_villages.jpg,"Braided rivers, lakes, and settlement-scale landscape",Yukon-Kuskokwim Delta (14001614879).jpg,Joseph / The Cabin On The Road,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Yukon-Kuskokwim_Delta_(14001614879).jpg
04,Yukon-Kuskokwim Delta,04_Yukon-Kuskokwim_Delta/03_tutakoke_coastal_tundra.jpg,Coastal tundra camp and bird-habitat scale,"Aerial view of Tutakoke Bird Camp, Coast of the Bering Sea just south of Hooper Bay, Alaska, near Chevak, Alaska.jpg",Don Becker / U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),"https://commons.wikimedia.org/wiki/File:Aerial_view_of_Tutakoke_Bird_Camp,_Coast_of_the_Bering_Sea_just_south_of_Hooper_Bay,_Alaska,_near_Chevak,_Alaska.jpg"
05,Interior Boreal Forest,05_Interior_Boreal_Forest/01_taiga_muskeg_aerial.jpg,"Aerial taiga, muskeg openings, and mixed spruce-birch texture","Typical country in this area of the route, muskeg lowlands taiga forest - NARA - 550578.jpg",Dennis Cowals / EPA / NARA,Public Domain (U.S. federal work),"https://commons.wikimedia.org/wiki/File:TYPICAL_COUNTRY_IN_THIS_AREA_OF_THE_ROUTE,_MUSKEG_LOWLANDS_TAIGA_FOREST_OF_SPRUCE,_ASPEN,_BIRCH_AND_WILLOW_IN_THE..._-_NARA_-_550578.jpg"
05,Interior Boreal Forest,05_Interior_Boreal_Forest/02_fairbanks_boreal_trail.jpg,Human-height trail through interior boreal vegetation,"UAF Trails, Fairbanks, AK, Sep 2006.jpg",m_p_king,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:UAF_Trails,_Fairbanks,_AK,_Sep_2006.jpg"
05,Interior Boreal Forest,05_Interior_Boreal_Forest/03_upper_kanuti_river.jpg,River slough and forest edge within interior lowlands,Upper kanuti river alaska.jpg,Steve Hillebrand / U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Upper_kanuti_river_alaska.jpg
06,Arctic Coastal Plain,06_Arctic_Coastal_Plain/01_coastal_plain_brooks_range.jpg,Aerial coastal plain with Brooks Range horizon,Aerial view of coastal plain and Brooks Range (51358091763).jpg,Lisa Hupp / U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Aerial_view_of_coastal_plain_and_Brooks_Range._(51358091763).jpg
06,Arctic Coastal Plain,06_Arctic_Coastal_Plain/02_anwr_tundra.jpg,Ground-level open tundra and shallow-water habitat,Arctic national wildlife refuge tundra.jpg,U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Arctic_national_wildlife_refuge_tundra.jpg
06,Arctic Coastal Plain,06_Arctic_Coastal_Plain/03_anwr_winter_scene.jpg,"Snow drifts, willow scrub, and winter mountain backdrop",Arctic National Wildlife Refuge - winter scene (8230665742).jpg,Jo Goldman / U.S. Fish and Wildlife Service,Public Domain (page also lists CC BY 2.0),https://commons.wikimedia.org/wiki/File:Arctic_National_Wildlife_Refuge_-_winter_scene_(8230665742).jpg
07,Aleutian Shoreline,07_Aleutian_Shoreline/01_chagulak_sea_cliffs.jpg,Steep volcanic sea cliffs and rough marine edge,Alaska Maritime National Wildlife Refuge; Chagulak Island in the Aleutian Islands.jpg,U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Alaska_Maritime_National_Wildlife_Refuge;_Chagulak_Island_in_the_Aleutian_Islands.jpg
07,Aleutian Shoreline,07_Aleutian_Shoreline/02_chagulak_foggy_coast.jpg,"Fog, low visibility, and exposed rocky coast",Coastal view of Chagulak Island in Alaska with fog in the horizon.jpg,U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Coastal_view_of_Chagulak_Island_in_Alaska_with_fog_in_the_horizon.jpg
07,Aleutian Shoreline,07_Aleutian_Shoreline/03_cape_sarichef_coast.jpg,"Black-sand beach, surf, and low grassy headland",Cape sarichef coast.jpg,U.S. Fish and Wildlife Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Cape_sarichef_coast.jpg
08,Southeast Rainforest Estuary,08_Southeast_Rainforest_Estuary/01_mendenhall_wetlands_estuary.jpg,Tidal estuary at winter low water with forested shoreline,Mendenhall Wetlands State Game Refuge 2.jpg,S.A.,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Mendenhall_Wetlands_State_Game_Refuge_2.jpg
08,Southeast Rainforest Estuary,08_Southeast_Rainforest_Estuary/02_fireweed_wetland_ground_detail.jpg,Tall wetland plants and vegetation-scale color reference,Dead Fireweed Wetlands HDR792.jpg,Gillfoto,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Dead_Fireweed_Wetlands_HDR792.jpg
08,Southeast Rainforest Estuary,08_Southeast_Rainforest_Estuary/03_misty_fjords_inlet_aerial.jpg,"Aerial forested inlet, cliffs, and estuarine basin",One of the many ocean inlets in Misty Fjords National Monument.jpg,Alan Wu,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:One_of_the_many_ocean_inlets_in_Misty_Fjords_National_Monument.jpg
09,Tundra Lake Country,09_Tundra_Lake_Country/01_thaw_lakes_aerial.jpg,Aerial thaw-lake pattern and lingering ice,Alaska tundra and thaw lakes.jpg,Quintin Soloviev,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Alaska_tundra_and_thaw_lakes.jpg
09,Tundra Lake Country,09_Tundra_Lake_Country/02_nunivak_tundra_lakes.jpg,Summer tundra lake mosaic under low cloud,Nunivak tundra and lakes.jpg,Andrea Pokrzywinski,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Nunivak_tundra_and_lakes.jpg
09,Tundra Lake Country,09_Tundra_Lake_Country/03_beaded_streams_and_lakes.jpg,"Beaded streams, shallow wetlands, and open lakes",BLM Summer Roadtrip- Wildlife in the National Petroleum Reserve-Alaska (19160621310).jpg,Bureau of Land Management,Public Domain (page also lists CC BY 2.0),https://commons.wikimedia.org/wiki/File:BLM_Summer_Roadtrip-_Wildlife_in_the_National_Petroleum_Reserve-Alaska_(19160621310).jpg
10,Alpine Ptarmigan Country,10_Alpine_Ptarmigan_Country/01_alpine_tundra_rainbow.jpg,"Steep alpine tundra, wildflowers, and dramatic weather",A rainbow arcing over high alpine tundra in Denali (cfe02062-d4da-48f5-87d2-ead7de059518).jpg,Jacob W. Frank / National Park Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:A_rainbow_arcing_over_high_alpine_tundra_in_Denali_(cfe02062-d4da-48f5-87d2-ead7de059518).jpg
10,Alpine Ptarmigan Country,10_Alpine_Ptarmigan_Country/02_polychrome_pass_panorama.jpg,Wide rocky alpine slope and river-plain panorama,Polychrome Pass is around the half-way point on the Denali Park Road (2aca0562-1dd8-b71c-0732-6bc26a8805f6).jpg,Tim Rains / National Park Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Polychrome_Pass_is_around_the_half-way_point_on_the_Denali_Park_Road_(2aca0562-1dd8-b71c-0732-6bc26a8805f6).jpg
10,Alpine Ptarmigan Country,10_Alpine_Ptarmigan_Country/03_alpine_tundra_ground_detail.jpg,Low alpine vegetation and rock-scale ground cover,Wildflowers speckle the alpine tundra on this unnamed mountain (db45b3cb-218f-40da-84e8-cd5cb3efa0ae).jpg,Tim Rains / National Park Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Wildflowers_speckle_the_alpine_tundra_on_this_unnamed_mountain_(db45b3cb-218f-40da-84e8-cd5cb3efa0ae).jpg
11,Snow-Covered Willow Country,11_Snow-Covered_Willow_Country/01_snowy_denali_forest.jpg,Snow-loaded spruce forest and mountain wall,Late winter in Denali brings much longer daylight hours (dc9a790e-4a9e-48cf-b3a0-dfcf49269be4).jpg,Tim Rains / National Park Service,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:Late_winter_in_Denali_brings_much_longer_daylight_hours_(dc9a790e-4a9e-48cf-b3a0-dfcf49269be4).jpg
11,Snow-Covered Willow Country,11_Snow-Covered_Willow_Country/02_wonder_lake_winter.jpg,"Open winter lake country, windblown snow, and distant peaks",Park winter lake wonder national denali preserve 2012 (7065231541).jpg,Jacob W. Frank / Denali National Park and Preserve,Public Domain (page also lists CC BY 2.0),https://commons.wikimedia.org/wiki/File:Park_winter_lake_wonder_national_denali_preserve_2012_(7065231541).jpg
11,Snow-Covered Willow Country,11_Snow-Covered_Willow_Country/03_winter_ptarmigan_willows.jpg,White winter ptarmigan perched in bare willow branches,Ptarmigan (14229707601).jpg,Katie Thoresen / Denali National Park and Preserve,Public Domain (page also lists CC BY 2.0),https://commons.wikimedia.org/wiki/File:Ptarmigan_(14229707601).jpg
12,River Flats During Migration,12_River_Flats_During_Migration/01_minto_flats_wetland.jpg,"Shallow ponds, marsh vegetation, and broad staging habitat",The George Parks Highway Scenic Byway - Minto Flats - NARA - 7722401.jpg,U.S. Department of Transportation / NARA,Public Domain (U.S. federal work),https://commons.wikimedia.org/wiki/File:The_George_Parks_Highway_Scenic_Byway_-_Minto_Flats_-_NARA_-_7722401.jpg
12,River Flats During Migration,12_River_Flats_During_Migration/02_creamers_field_landmark.jpg,Creamer’s Field landmark and storm-light reference,"Creamer's Field Fairbanks, Alaska (2).jpg",Jcml123,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Creamer%27s_Field_Fairbanks,_Alaska_(2).jpg"
12,River Flats During Migration,12_River_Flats_During_Migration/03_migration_crane_flock.jpg,"Large migratory flock, open field, and wetland-edge scale","Sandhill Cranes, Creamer's Field.jpg",L T Hunter,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Sandhill_Cranes,_Creamer%27s_Field.jpg"
